IDENT;SEXO;ESTUDIOS_PADRE;ESTUDIOS_MADRE;EST_B2_2;EST_M1;EST_B11_2;EST_B11_3
441;1;2;4;2;2;2;2
442;1;2;4; ;2;1;2
443;2;3;9; ;2;2;2
444;2;6;5; ;2;2;2
445;2;3;3; ;2;2;2
446;2;3;6;2;2;2;2
447;1;4;8; ;2;2;2
448;1;4;4;2;2;1;2
449;2;4;3;2;2;2;2
450;2;4;4;2;1;1;2
451;2;8;8; ;2;2;2
452;2;9;9; ;2;2;2
453;2;6;6;2;2;2;2
454;2;8;8; ;2;2;2
455;2;3;5;2;2;2;2
456;2;3;3;2;2;2;2
457;2;4;3; ;2;2;2
458;2;6;8; ;2;2;2
459;2;8;5; ;2;1;2
460;2;2;3; ;2;1;2
461;2;4;4;2;2;1;2
462;1;9;3;2;2;2;2
463;1;7;4; ;2;2;2
464;2;3;3; ;2;2;2
465;2;3;1; ;2;2;2
466;2;3;3; ;2;1;2
467;2;6;3; ;2;2;2
468;2;4;7;2;2;2;2
469;2;4;4;2;2;1;2
470;2;4;4;2;1;2;2
471;2;8;8;2;1;1;2
472;2;5;8; ;2;1;2
473;2;4;6;2;2;2;2
474;2;3;3;2;2;1;2
475;2;3;3;2;2;1;2
476;2;2;3;2;2;1;2
477;1;8;5;2;2;1;2
478;1;2;9; ;2;2;2
479;2;4;4;2;2;2;2
480;2;3;7;2;2;2;2
481;2;4;5; ;2;2;2
482;2;3;3; ;2;2;2
483;1;6;4; ;2;2;2
484;2;2;2; ;2;2;2
485;2;4;4; ;2;2;2
486;2;3;2; ;2;2;2
487;2;5;6; ;2;2;2
488;1;8;8;2;1;2;2
489;2;9;9;2;2;1;2
490;2;4;6;2;2;1;2
491;2;8;7;2;2;2;2
492;2;4;4;2;2;1;2
493;2;4;3;2;2;1;2
494;2;9;5; ;2;2;2
495;1;1;2;2;1;1;2
496;2;4;4; ;2;2;2
497;2;7;4; ;2;2;2
498;2;4;4; ;2;1;2
499;2;4;3; ;2;2;2
500;2;5;8; ;2;2;2
501;2;3;3;2;2;2;2
502;1;8;8; ;2;2;2
503;2;6;6;2;2;1;2
504;2;5;6;2;2;2;2
505;2;3;8; ;2;1;2
506;2;3;3; ;2;2;2
507;2;3;3; ;2;1;2
508;1;3;3;2;2;2;2
509;2;7;6; ;2;2;2
510;2;8;8; ;2;2;2
511;2;6;5; ;2;2;2
512;2;8;9; ;2;1;2
513;2;2;2;2;2;2;2
514;2;3;3;2;1;1;2
515;2;1;3;2;2;2;2
516;2;6;4;2;2;1;2
517;2;4;4;2;1;2;2
518;2;3;3;2;2;1;2
519;1;9;8; ;2;1;2
520;2;5;4; ;2;1;2
521;2;5;8; ;2;2;2
522;2;4;9; ;2;2;2
523;2;3;2; ;2;2;2
524;2;7;8; ;2;1;2
525;2;5;3; ;2;2;2
526;2;8;8; ;2;1;2
527;2;5;9; ;2;2;2
528;2;3;6;2;2;2;2
529;2;3;3; ;2;1;2
530;2;3;5; ;2;2;2
531;2;3;9; ;2;1;2
532;2;8;8; ;2;1;2
533;1;3;4;2;2;2;2
534;2;3;7; ;2;2;2
535;2;2;2; ;2;2;2
536;2;9;4; ;2;2;2
537;2;3;2; ;2;2;2
538;2;8;8; ;2;2;2
539;2;8;8; ;2;2;2
540;2;2;2; ;2;2;2
541;2;8;8;1;2;1;2
542;2;8;4;2;1;2;2
543;2;6;6;2;1;1;2
544;2;3;3;1;2;2;2
545;2;4;3;2;2;2;2
546;2;4;4;2;2;1;2
547;2;8;8; ;2;2;2
548;2;8;8; ;2;2;2
549;1;9;9; ;2;1;2
550;1;8;7; ;2;1;2
551;2;3;6;2;2;1;2
552;2;3;6; ;2;2;2
553;2;3;3; ;2;2;2
554;2;2;2; ;2;2;2
555;2;4;8;2;1;2;2
556;2;6;5; ;2;2;2
557;2;9;9; ;2;2;2
558;2;8;5; ;2;1;2
559;2;3;2; ;2;2;2
560;2;2;2; ;2;2;2
561;2;3;3; ;2;1;2
562;2;5;3; ;2;2;2
563;2;7;7; ;2;2;2
564;2;3;3; ;2;2;2
565;2;9;8; ;2;2;2
566;2;8;8; ;2;1;2
567;2;8;4; ;2;2;2
568;1;3;3;2;2;2;2
569;1;2;6;2;2;2;2
570;2;6;6; ;2;2;2
571;2;3;3;2;2;2;2
572;2;8;5;2;2;2;2
573;2;5;5;2;2;2;2
574;2;3;6;2;2;2;2
575;2;4;4;2;2;2;2
576;2;4;4; ;2;2;2
577;2;3;3; ;1;1;2
578;2;8;7;2;2;2;2
579;2;3;4;2;2;1;2
580;2;4;4;2;2;2;2
581;2;4;4;2;2;2;2
582;2;3;8; ;2;2;2
583;2;5;6;2;2;2;2
584;2;3;4; ;2;1;2
585;2;4;4;2;2;2;2
586;2;6;4;2;2;1;2
587;2;9;2;2;2;2;2
588;2;2;4;2;1;2;2
